filename,width,height,class,xmin,ymin,xmax,ymax
a.jpg,338,600,red_panda,9.514074325561523,169.5,219.82518005371094,406.5
a.jpg,338,600,red_panda,204.30221557617188,268.5,338.0,416.0
b.jpg,600,372,red_panda,151.5,95.12786102294922,361.0,329.9434814453125
c.jpg,600,400,red_panda,263,1,559,291
d.jpg,600,536,red_panda,148.5,63.5,414.0,424.0
e.jpg,400,600,red_panda,0.5,129.0,302.0,398.0
f.jpg,400,600,red_panda,181.5,175.5,314.0,484.0
g.jpg,600,400,red_panda,0.5,81.0,382.5,280.5
h.jpg,600,450,red_panda,229,186,566,420
i.jpg,600,400,red_panda,100,119,294,391
i.jpg,600,400,red_panda,254,114,508,330
j.jpg,600,400,red_panda,226.5,106.50000762939453,453.5,295.0
